Sweep	Chain_1	Chain_2	Chain_3	
48	-21929.23661361	-21933.51890589	-21944.9616034	
49	-21929.23661361	-21938.73338819	-21944.85354067	
50	-21929.23661361	-21944.85354067	-21938.73338819	
51	-21929.23661361	-21933.51890589	-21934.76792282	
52	-21929.68138305	-21930.2817009	-21936.09036286	
53	-21930.05496429	-21929.45512767	-21935.33687552	
54	-21934.51748033	-21930.05496429	-21929.45512767	
55	-21930.27269558	-21934.58226389	-21930.05496429	
56	-21930.05496429	-21930.27269558	-21935.08228171	
57	-21930.05496429	-21935.28215383	-21934.0104442	
58	-21930.31590047	-21937.43264611	-21935.51264013	
59	-21934.68672267	-21940.0125106	-21945.57007581	
60	-21935.00310281	-21944.78404952	-21939.7779188	
61	-21935.00310281	-21944.78404952	-21939.7779188	
62	-21930.82381367	-21939.3989023	-21940.53005543	
63	-21931.06251593	-21940.80363199	-21935.29254213	
64	-21931.06251593	-21935.29254213	-21940.80363199	
65	-21930.13886591	-21929.53858289	-21935.8734283	
66	-21929.39313353	-21929.99336611	-21951.00592483	
