Sweep	g
1676	2169.06
1677	2169.06
1678	2169.06
1679	2169.06
1680	2169.06
1681	1452.11
1682	1452.11
1683	1452.11
1684	1452.11
1685	1452.11
1686	1452.11
1687	1452.11
1688	2841.12
1689	1660.03
1690	1508.2
1691	2199.28
1692	958.924
1693	958.924
1694	958.924
1695	958.924
1696	1495.43
1697	1845.75
1698	1845.75
1699	1845.75
1700	1845.75
1701	1845.75
1702	1712.68
1703	1047.41
1704	1047.41
1705	1047.41
1706	1047.41
1707	1047.41
1708	1047.41
1709	1047.41
1710	1771.46
1711	1771.46
1712	1771.46
1713	1771.46
1714	1057.01
1715	1057.01
1716	1057.01
1717	1057.01
1718	1831.34
1719	2181.75
1720	2181.75
1721	1031.99
1722	1031.99
1723	1031.99
1724	1031.99
1725	1031.99
1726	1031.99
1727	1324.07
1728	1324.07
1729	1324.07
1730	1324.07
1731	1324.07
1732	1264.62
1733	1264.62
1734	771.538
1735	771.538
1736	794.795
1737	794.795
1738	794.795
1739	1370.66
1740	1370.66
1741	1370.66
1742	1370.66
1743	1370.66
1744	1370.66
1745	2086.39
1746	1089.17
1747	684.447
1748	684.447
1749	684.447
1750	684.447
1751	2474.39
1752	2132.52
1753	2132.52
1754	850.383
1755	850.383
1756	850.383
1757	850.383
1758	1263.08
1759	1263.08
1760	1257.66
1761	1257.66
1762	888.258
1763	888.258
1764	888.258
1765	883.684
1766	1087.2
1767	1087.2
1768	2508.36
1769	1416.03
1770	1416.03
1771	1416.03
1772	1416.03
1773	1243.04
1774	1243.04
1775	771.687
1776	771.687
1777	771.687
1778	771.687
1779	771.687
1780	771.687
1781	2059.17
1782	691.506
1783	691.506
1784	2147.95
1785	2147.95
1786	2147.95
1787	2147.95
1788	3421.06
1789	3421.06
1790	1724.47
1791	1423.38
1792	1423.38
1793	894.14
1794	1898.47
1795	1898.47
1796	1898.47
1797	1898.47
1798	1898.47
1799	1898.47
1800	1898.47
1801	1291.49
1802	1344.02
1803	1344.02
1804	1344.02
1805	1242.66
1806	1305.88
1807	2162.11
1808	3850.57
1809	1812.7
1810	1812.7
1811	1812.7
1812	1812.7
1813	1812.7
1814	1812.7
1815	2003.33
1816	1586.11
1817	1586.11
1818	1586.11
1819	1586.11
1820	644.152
1821	512.537
1822	720.792
1823	720.792
1824	720.792
1825	1283.05
1826	1283.05
1827	1283.05
1828	1091.05
1829	1067.33
1830	1430.88
1831	1430.88
1832	1139.03
1833	1213.31
1834	1213.31
1835	1213.31
1836	1106.02
1837	1106.02
1838	1236.73
1839	1236.73
1840	1236.73
1841	1152.61
1842	1152.61
1843	1152.61
1844	1152.61
1845	975.392
1846	880.763
1847	961.339
1848	961.339
1849	961.339
1850	1119.51
1851	1119.51
1852	1308.65
1853	1308.65
1854	1308.65
1855	1601.97
1856	1703.67
1857	1403.3
1858	975.762
1859	975.762
1860	975.762
1861	975.762
1862	975.762
1863	1711.54
1864	1711.54
1865	1711.54
1866	1711.54
1867	3172.66
1868	3365.95
1869	2916.7
1870	2916.7
1871	2916.7
1872	1718.08
1873	1718.08
1874	1718.08
1875	1718.08
1876	1718.08
1877	2237.3
1878	520.191
1879	520.191
1880	4147.86
1881	2742.25
1882	1485.74
1883	1485.74
1884	1485.74
1885	2220.41
1886	2220.41
1887	2220.41
1888	806.395
1889	913.195
1890	1265.38
1891	1265.38
1892	1265.38
1893	1375.16
1894	1118.91
1895	1118.91
1896	1118.91
1897	1118.91
1898	1118.91
1899	1118.91
1900	1118.91
1901	1915.53
1902	2042.66
1903	2042.66
1904	2042.66
1905	1013.92
1906	1013.92
1907	1614.97
1908	1614.97
1909	1614.97
1910	1614.97
1911	2854.73
1912	2854.73
1913	2854.73
1914	2308.38
1915	679.109
1916	729.332
1917	1104.09
1918	1104.09
1919	1104.09
1920	1104.09
1921	1104.09
