Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
2409	2	2	1	2
2410	1	1	2	1
2412	1	1	2	1
2418	2	2	1	2
2420	3	5	2	1
2424	3	3	2	1
2430	1	1	1	2
2433	3	2	3	1
2434	1	1	3	1
2435	3	3	1	2
2438	2	2	1	2
2439	2	2	1	2
2444	1	1	3	1
2449	2	2	1	2
2450	3	5	1	2
2452	3	3	1	2
2454	1	1	1	2
2455	3	3	1	2
2461	2	2	1	2
2466	2	2	1	2
2470	3	5	2	1
2472	2	2	2	1
2473	1	1	1	3
2476	1	1	1	2
2478	3	5	3	1
2480	3	5	3	1
2481	1	1	2	1
2484	3	3	1	2
2487	2	2	1	2
2488	2	2	2	1
2489	3	1	1	2
2502	2	2	1	2
2505	3	3	1	2
2506	2	2	1	3
2508	3	3	1	2
2511	2	2	2	1
2513	1	1	1	2
2514	2	2	1	2
2516	1	1	1	2
2522	3	2	1	2
2526	1	1	1	2
2527	2	2	1	2
2531	2	2	2	1
2533	3	3	2	3
2534	3	5	2	3
2545	1	1	1	3
2549	3	5	1	2
2555	1	1	2	1
2556	2	2	2	1
2557	2	2	2	1
2560	3	2	1	2
2572	3	1	1	2
2573	2	2	2	1
2574	1	1	1	2
2576	2	2	2	3
2577	2	2	1	3
2580	3	5	2	1
2582	3	2	2	1
2585	2	2	2	1
2587	1	1	1	2
2588	2	2	1	2
2591	3	3	2	1
2593	2	2	1	2
2594	3	3	1	3
2598	2	2	1	2
2602	3	3	1	2
2608	2	2	1	2
2613	2	2	1	3
2616	3	2	1	2
2619	2	2	1	3
2622	3	3	1	2
2625	2	2	1	3
2631	3	5	1	3
2637	1	1	1	2
2639	1	1	2	1
2642	3	5	2	1
2643	1	1	3	1
2644	1	1	1	3
2648	3	5	2	1
2650	2	2	1	2
2652	3	5	1	2
2654	2	2	3	1
2657	2	2	2	3
2659	1	1	1	3
2661	1	1	2	1
2663	1	1	1	2
2664	2	2	1	2
2667	2	2	2	1
2672	2	2	1	2
2673	3	2	1	2
2682	2	2	1	3
2684	3	5	2	1
2688	2	2	1	3
2691	3	2	2	1
2693	3	2	2	1
2696	1	1	1	3
2697	1	1	1	2
2699	3	2	1	2
2717	3	3	1	2
2718	2	2	2	1
2719	3	3	1	2
2730	1	1	1	2
2740	1	1	1	2
2741	3	2	2	1
2753	1	1	1	2
2754	1	1	2	1
2755	3	1	1	2
2756	3	4	2	1
2758	3	2	1	2
2760	1	1	1	2
2767	3	3	1	2
2769	1	1	1	3
2772	1	1	1	2
2773	2	2	2	3
2774	3	2	2	3
2777	2	2	2	1
2780	1	1	3	1
2781	2	2	3	1
2784	3	3	1	2
2788	1	1	1	2
2796	1	1	1	2
2802	2	2	1	2
2803	2	2	2	1
2805	3	2	2	1
2808	1	1	1	2
2810	2	2	3	1
2811	2	2	3	1
2812	2	2	3	1
2814	1	1	2	1
2815	1	1	2	1
2820	3	3	3	1
2821	1	1	1	3
2822	2	2	3	1
2823	3	5	3	1
2828	2	2	2	1
2833	2	2	1	2
2837	2	2	3	1
2840	2	2	1	2
2841	2	2	1	2
2842	3	3	1	2
2848	2	2	1	2
2853	1	1	1	3
2855	3	2	1	2
2857	2	2	1	2
2862	3	2	3	1
2863	2	2	1	2
2869	2	2	1	2
2872	3	3	1	2
2875	3	2	1	2
2880	2	2	1	2
2883	2	2	1	2
2884	2	2	2	1
2888	1	1	2	1
2891	3	3	1	2
2892	1	1	2	1
2893	3	2	1	2
2894	1	1	1	2
2897	2	2	2	1
2900	3	5	1	2
2904	2	2	1	2
2906	1	1	2	1
2907	3	2	1	2
2908	3	3	2	1
2914	2	2	1	3
2915	1	1	1	3
2916	1	1	3	1
2917	3	3	1	3
2918	3	3	1	2
2926	3	2	2	1
2927	3	3	2	1
2930	3	2	2	1
2935	1	1	2	1
2937	1	1	1	3
2938	2	2	3	1
2944	3	2	1	2
2945	3	2	1	3
2957	1	1	1	2
2958	1	1	1	2
2960	3	2	1	2
2961	1	1	2	1
2965	3	2	3	1
2967	2	2	2	1
2971	2	2	1	2
2974	2	2	1	2
2982	2	2	1	2
2992	1	1	1	2
2993	2	2	1	2
2996	2	2	1	3
2997	3	2	1	3
2999	2	2	2	1
3003	1	1	1	2
3010	3	2	1	2
3012	3	1	1	2
3015	3	2	1	3
3017	2	2	1	2
3018	1	1	1	2
3019	3	3	2	1
3021	3	3	1	2
3022	1	1	2	1
3024	2	2	2	1
3025	3	5	2	1
3026	2	2	1	2
3028	3	3	1	2
3031	3	3	1	2
3032	1	1	1	2
3034	1	1	1	3
3037	2	2	3	2
3038	2	2	1	2
3039	1	1	2	3
3040	1	1	1	3
3041	1	1	1	2
3044	1	1	3	1
3045	1	1	1	2
3047	3	5	1	2
3050	1	1	1	2
3051	1	1	1	2
3058	1	1	3	1
3059	3	2	1	2
3063	1	1	1	2
3065	3	4	2	1
3068	1	1	2	3
3074	3	5	1	2
3077	1	1	2	1
3078	2	2	1	2
3081	1	1	1	2
3082	1	1	2	1
3086	2	2	1	2
3094	3	2	1	3
3097	3	1	1	2
3103	3	2	1	2
3104	1	1	2	1
3107	1	1	1	3
3110	1	1	1	2
3113	2	2	1	2
3117	3	1	1	2
3127	3	5	1	2
3128	3	5	2	1
3131	2	2	2	1
3135	1	1	1	2
3136	1	1	1	2
3137	3	5	2	1
3138	2	2	1	2
3140	1	1	2	1
3141	3	5	2	1
3151	2	2	1	3
3153	1	1	2	1
3154	1	1	1	2
3155	3	4	1	2
3157	1	1	1	2
3165	2	2	2	1
3169	1	1	1	3
3171	2	2	1	2
3174	1	1	1	2
3175	2	2	2	1
3178	1	1	1	3
3179	1	1	1	2
3180	2	2	2	1
3188	1	1	1	2
3189	1	1	1	2
3193	2	2	1	2
3194	2	2	2	1
3196	1	1	3	1
3199	2	2	1	2
3204	3	2	1	3
3208	2	2	1	3
3209	3	4	1	3
3210	1	1	1	3
3214	1	1	2	1
3216	1	1	1	2
3221	2	2	1	2
3222	3	1	2	1
3224	2	2	1	2
3225	3	5	2	1
3226	2	2	2	1
3231	2	2	2	1
3232	1	1	1	2
3234	3	4	2	1
3248	2	2	3	1
3250	2	2	1	2
3262	3	3	1	2
3264	3	2	1	2
3265	2	2	1	2
3268	3	3	3	1
3269	2	2	1	3
3275	2	2	1	2
3277	2	2	1	2
3281	2	2	3	1
3284	3	2	1	3
3286	1	1	2	1
3291	3	3	1	3
3299	2	2	2	1
3303	3	2	1	3
3306	3	3	1	2
3310	1	1	2	1
3311	3	2	1	2
3312	2	2	1	2
3316	1	1	1	2
3317	1	1	1	2
3320	3	3	2	1
3322	1	1	1	2
3335	1	1	2	1
3338	3	3	1	2
3339	3	2	1	2
3340	2	2	1	2
3344	2	2	2	3
3345	1	1	2	1
3354	3	1	3	1
3355	2	2	1	3
3358	3	5	1	3
3360	3	3	1	2
3365	3	2	1	2
3366	1	1	1	2
3369	3	2	2	1
3370	1	1	1	2
3375	3	3	1	2
3376	1	1	1	2
3380	3	2	1	2
3382	3	5	1	3
3383	2	2	1	3
3395	3	2	1	2
3396	2	2	1	2
3408	2	2	1	2
3411	3	5	1	2
3418	3	3	1	2
3420	3	3	1	2
3424	1	1	1	2
3431	2	2	2	1
3433	3	2	2	1
3437	1	1	1	2
3443	2	2	1	2
3446	1	1	1	2
3448	2	2	1	3
3457	1	1	1	2
3466	2	2	1	3
3471	2	2	1	3
3481	2	2	1	2
3484	1	1	3	2
3487	2	2	2	1
3488	2	2	1	2
3491	3	2	2	1
3494	3	2	1	2
3500	2	2	1	2
3502	1	1	1	2
3507	2	2	3	1
3513	3	5	1	3
3514	3	3	3	1
3517	2	2	1	3
3521	3	5	1	2
3527	1	1	2	1
3528	2	2	2	1
3529	3	3	1	2
3536	1	1	1	2
3539	1	1	1	2
3540	1	1	1	2
3541	2	2	1	2
3543	1	1	1	3
3546	3	2	1	3
3548	1	1	1	2
3551	3	2	2	1
3555	3	2	1	2
3562	1	1	1	2
3563	3	3	1	2
3564	3	1	2	1
3567	2	2	1	2
3568	3	5	1	2
3574	3	5	2	1
3576	2	2	1	2
3577	3	4	1	3
3579	2	2	1	3
3583	2	2	1	3
3590	2	2	2	1
3591	1	1	1	2
3592	3	3	2	1
3594	2	2	2	1
3596	2	2	1	2
